name,symbol,link
COVIVIO,CVO.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/FR0000064578.html?lang=it
CREDIT AGRICOLE,ACA.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000045072.html?lang=it
CREDITO EMILIANO,CE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003121677.html?lang=it
CROWDFUNDME,CFM.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005353575.html?lang=it
CSP INT IND CALZE,CSP.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001127874.html?lang=it
CULTI MILANO,CULT.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005257347.html?lang=it
CY4GATE,CY4.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005412504.html?lang=it
CYBEROO,CYB.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005495400.html?lang=it
D'AMICO,DIS.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/LU0290697514.html?lang=it
DANIELI & C,DAN.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000076502.html?lang=it
DANIELI & C RSP,DANR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000076486.html?lang=it
DANONE,DNN.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000120644.html?lang=it
DATALOGIC,DAL.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004053440.html?lang=it
DATRIX,DATA.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005468357.html?lang=it
DBA GROUP,DBA.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005285942.html?lang=it
DE'LONGHI,DLG.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003115950.html?lang=it
DEA CAPITAL,DEA.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001431805.html?lang=it
